ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-167.25,3.125,-155.25,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-162.25,15.0,-152.0,2.0
-1.646484375,-1.7255859375,-1.9521484375,-167.25,3.125,-155.25,2.0
-0.64453125,-1.9189453125,1.662109375,-154.5,-168.0,-168.0,2.0
-0.64453125,-1.9189453125,1.662109375,-154.5,-168.0,-168.0,2.0
-0.64453125,-1.9189453125,1.662109375,-154.5,-168.0,-168.0,2.0
-0.64453125,-1.9189453125,1.662109375,-154.5,-168.0,-168.0,2.0
-0.64453125,-1.9189453125,1.662109375,-154.5,-168.0,-168.0,2.0
-0.64453125,-1.9189453125,1.662109375,-154.5,-168.0,-168.0,2.0
