ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,200.5,-218.25,221.0,2.0
1.98046875,1.482421875,-0.9560546875,200.5,-218.25,221.0,2.0
1.98046875,1.482421875,-0.9560546875,200.5,-218.25,221.0,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,199.0,-218.25,218.25,2.0
1.982421875,1.4921875,-0.943359375,200.5,-218.25,221.0,2.0
1.98046875,1.482421875,-0.9560546875,200.5,-218.25,221.0,2.0
1.98046875,1.482421875,-0.9560546875,200.5,-218.25,221.0,2.0
1.86328125,1.470703125,-0.82421875,236.75,-212.5,-190.625,2.0
1.86328125,1.470703125,-0.82421875,236.75,-212.5,-190.625,2.0
1.86328125,1.470703125,-0.82421875,236.75,-212.5,-190.625,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,239.0,-210.75,-189.0,2.0
1.845703125,1.44921875,-0.830078125,242.0,-209.125,-187.75,2.0
1.833984375,1.423828125,-0.8330078125,242.0,-209.125,-187.75,2.0
1.833984375,1.423828125,-0.8330078125,242.0,-209.125,-187.75,2.0
1.833984375,1.423828125,-0.8330078125,242.0,-209.125,-187.75,2.0
1.833984375,1.423828125,-0.8330078125,242.0,-209.125,-187.75,2.0
1.833984375,1.423828125,-0.8330078125,242.0,-209.125,-187.75,2.0
1.833984375,1.423828125,-0.8330078125,242.0,-209.125,-187.75,2.0
1.833984375,1.423828125,-0.8330078125,242.0,-209.125,-187.75,2.0
1.392578125,0.88671875,-0.751953125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.408203125,0.861328125,-0.7548828125,-161.25,168.25,-92.375,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
1.423828125,0.830078125,-0.763671875,-154.75,161.0,-91.125,2.0
-1.525390625,1.951171875,1.189453125,-139.25,0.0,-61.875,2.0
-1.525390625,1.951171875,1.189453125,-139.25,0.0,-61.875,2.0
-1.525390625,1.951171875,1.189453125,-139.25,0.0,-61.875,2.0
-1.525390625,1.951171875,1.189453125,-139.25,0.0,-61.875,2.0
-1.525390625,1.951171875,1.189453125,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.51171875,1.94140625,1.265625,-154.0,0.0,-61.375,2.0
-1.4873046875,1.927734375,1.337890625,-169.5,0.0,-62.375,2.0
-1.4873046875,1.927734375,1.337890625,-169.5,0.0,-62.375,2.0
-1.4873046875,1.927734375,1.337890625,-169.5,0.0,-62.375,2.0
-1.4873046875,1.927734375,1.337890625,-169.5,0.0,-62.375,2.0
-1.4873046875,1.927734375,1.337890625,-169.5,0.0,-62.375,2.0
-1.4873046875,1.927734375,1.337890625,-169.5,0.0,-62.375,2.0
-1.09375,1.8125,0.9453125,223.25,102.25,-155.25,2.0
-1.09375,1.8125,0.9453125,223.25,102.25,-155.25,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
-1.0517578125,1.802734375,0.92578125,220.0,103.0,-161.0,2.0
