ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.103515625,-1.63671875,-1.234375,195.75,223.5,213.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.103515625,-1.63671875,-1.234375,195.75,223.5,213.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.1083984375,-1.6396484375,-1.244140625,198.5,223.5,212.75,2.0
-1.19921875,-1.7724609375,-1.357421875,225.25,245.75,241.5,2.0
-1.19921875,-1.7724609375,-1.357421875,225.25,245.75,241.5,2.0
-1.19921875,-1.7724609375,-1.357421875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.205078125,-1.765625,-1.35546875,225.75,246.0,242.75,2.0
-1.2099609375,-1.7626953125,-1.357421875,226.25,246.25,244.0,2.0
-1.2099609375,-1.7626953125,-1.357421875,226.25,246.25,244.0,2.0
-1.2099609375,-1.7626953125,-1.357421875,226.25,246.25,244.0,2.0
-1.2099609375,-1.7626953125,-1.357421875,226.25,246.25,244.0,2.0
-1.2099609375,-1.7626953125,-1.357421875,226.25,246.25,244.0,2.0
-1.2099609375,-1.7626953125,-1.357421875,226.25,246.25,244.0,2.0
-1.2099609375,-1.7626953125,-1.357421875,226.25,246.25,244.0,2.0
-1.2099609375,-1.7626953125,-1.357421875,226.25,246.25,244.0,2.0
-1.22265625,-1.7958984375,-1.2939453125,232.5,-229.875,-239.625,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,232.75,-229.5,-239.0,2.0
-1.21875,-1.798828125,-1.294921875,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.21875,-1.80078125,-1.298828125,233.25,-229.125,-238.875,2.0
-1.2314453125,1.791015625,-1.171875,136.0,238.0,-239.25,2.0
-1.2314453125,1.791015625,-1.171875,136.0,238.0,-239.25,2.0
-1.2314453125,1.791015625,-1.171875,136.0,238.0,-239.25,2.0
-1.2314453125,1.791015625,-1.171875,136.0,238.0,-239.25,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,139.75,239.0,-239.625,2.0
-1.23046875,1.78515625,-1.140625,142.5,238.75,-239.125,2.0
-1.23046875,1.767578125,-1.12890625,142.5,238.75,-239.125,2.0
-1.23046875,1.767578125,-1.12890625,142.5,238.75,-239.125,2.0
-1.23046875,1.767578125,-1.12890625,142.5,238.75,-239.125,2.0
-1.23046875,1.767578125,-1.12890625,142.5,238.75,-239.125,2.0
-1.23046875,1.767578125,-1.12890625,142.5,238.75,-239.125,2.0
-1.23046875,1.767578125,-1.12890625,142.5,238.75,-239.125,2.0
-1.267578125,1.7578125,-1.0810546875,-232.75,-180.75,-249.75,2.0
-1.267578125,1.7578125,-1.0810546875,-232.75,-180.75,-249.75,2.0
-1.267578125,1.7578125,-1.0810546875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.263671875,1.75,-1.0654296875,-235.125,-179.875,248.75,2.0
-1.271484375,1.73828125,-1.064453125,-237.75,-178.375,246.75,2.0
