ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,142.25,-98.5,204.0,0.0
-1.181640625,1.3125,-1.736328125,142.25,-98.5,204.0,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,140.0,-99.75,203.75,0.0
-1.17578125,1.30859375,-1.7392578125,142.25,-98.5,204.0,0.0
-1.181640625,1.3125,-1.736328125,142.25,-98.5,204.0,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6748046875,1.412109375,-1.8544921875,184.25,-203.75,-233.5,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.6728515625,1.396484375,-1.849609375,182.75,-210.5,-231.25,0.0
-1.521484375,0.828125,1.84375,-180.25,76.25,-174.25,0.0
-1.521484375,0.828125,1.84375,-180.25,76.25,-174.25,0.0
-1.521484375,0.828125,1.84375,-180.25,76.25,-174.25,0.0
-1.521484375,0.828125,1.84375,-180.25,76.25,-174.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.51953125,0.81640625,1.82421875,-180.75,74.75,-175.25,0.0
-1.515625,0.80859375,1.8125,-181.0,73.0,-176.5,0.0
-1.515625,0.80859375,1.8125,-181.0,73.0,-176.5,0.0
-1.515625,0.80859375,1.8125,-181.0,73.0,-176.5,0.0
-1.515625,0.80859375,1.8125,-181.0,73.0,-176.5,0.0
-1.515625,0.80859375,1.8125,-181.0,73.0,-176.5,0.0
-1.515625,0.80859375,1.8125,-181.0,73.0,-176.5,0.0
-1.7197265625,0.779296875,1.728515625,-131.0,85.75,-223.25,0.0
-1.7197265625,0.779296875,1.728515625,-131.0,85.75,-223.25,0.0
-1.7197265625,0.779296875,1.728515625,-131.0,85.75,-223.25,0.0
-1.7197265625,0.779296875,1.728515625,-131.0,85.75,-223.25,0.0
-1.7197265625,0.779296875,1.728515625,-131.0,85.75,-223.25,0.0
-1.7197265625,0.779296875,1.728515625,-131.0,85.75,-223.25,0.0
-1.7197265625,0.779296875,1.728515625,-131.0,85.75,-223.25,0.0
-1.7197265625,0.779296875,1.728515625,-131.0,85.75,-223.25,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.720703125,0.78515625,1.732421875,-132.0,86.75,-222.75,0.0
-1.7177734375,0.7890625,1.736328125,-133.0,88.0,-222.125,0.0
-1.7177734375,0.7890625,1.736328125,-133.0,88.0,-222.125,0.0
-1.576171875,1.24609375,1.95703125,-132.75,125.5,-229.5,0.0
-1.576171875,1.24609375,1.95703125,-132.75,125.5,-229.5,0.0
-1.576171875,1.24609375,1.95703125,-132.75,125.5,-229.5,0.0
-1.576171875,1.24609375,1.95703125,-132.75,125.5,-229.5,0.0
-1.576171875,1.24609375,1.95703125,-132.75,125.5,-229.5,0.0
-1.576171875,1.24609375,1.95703125,-134.0,125.5,-231.125,0.0
-1.5693359375,1.2578125,1.958984375,-134.0,125.5,-231.125,0.0
-1.5693359375,1.2578125,1.958984375,-134.0,125.5,-231.125,0.0
-1.5693359375,1.2578125,1.958984375,-134.0,125.5,-231.125,0.0
-1.5693359375,1.2578125,1.958984375,-134.0,125.5,-231.125,0.0
