ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.0234375,1.8046875,-0.904296875,-180.25,168.5,138.25,2.0
1.0234375,1.8046875,-0.904296875,-180.25,168.5,138.25,2.0
1.0234375,1.8046875,-0.904296875,-180.25,168.5,138.25,2.0
1.0234375,1.8046875,-0.904296875,-180.25,168.5,138.25,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.025390625,1.8046875,-0.923828125,-181.25,176.0,143.75,2.0
1.0234375,1.8046875,-0.904296875,-180.25,168.5,138.25,2.0
1.0234375,1.8046875,-0.904296875,-180.25,168.5,138.25,2.0
1.0234375,1.8046875,-0.904296875,-180.25,168.5,138.25,2.0
1.0234375,1.8046875,-0.904296875,-180.25,168.5,138.25,2.0
-1.7333984375,1.859375,-1.1552734375,134.0,134.75,0.0,2.0
-1.7333984375,1.859375,-1.1552734375,134.0,134.75,0.0,2.0
-1.7333984375,1.859375,-1.1552734375,134.0,134.75,0.0,2.0
-1.7333984375,1.859375,-1.1552734375,134.0,134.75,0.0,2.0
-1.7333984375,1.859375,-1.1552734375,134.0,134.75,0.0,2.0
-1.7333984375,1.859375,-1.1552734375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.72265625,1.822265625,-1.146484375,131.25,139.0,0.0,2.0
-1.7119140625,1.810546875,-1.126953125,129.25,142.75,0.0,2.0
-1.7119140625,1.810546875,-1.126953125,129.25,142.75,0.0,2.0
-1.7119140625,1.810546875,-1.126953125,129.25,142.75,0.0,2.0
-1.7119140625,1.810546875,-1.126953125,129.25,142.75,0.0,2.0
-1.7119140625,1.810546875,-1.126953125,129.25,142.75,0.0,2.0
-1.4521484375,-1.9638671875,-0.5595703125,91.0,-103.5,0.0,2.0
-1.4521484375,-1.9638671875,-0.5595703125,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.5048828125,1.96484375,-0.5771484375,86.75,-103.375,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.572265625,1.884765625,-0.5966796875,82.0,-104.125,0.0,2.0
-1.9990234375,-1.896484375,1.716796875,169.75,0.0,-238.375,2.0
-1.9990234375,-1.896484375,1.716796875,169.75,0.0,-238.375,2.0
-1.9990234375,-1.896484375,1.716796875,169.75,0.0,-238.375,2.0
-1.9990234375,-1.896484375,1.716796875,169.75,0.0,-238.375,2.0
-1.9990234375,-1.896484375,1.716796875,169.75,0.0,-238.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,169.25,0.0,-242.375,2.0
1.974609375,-1.8505859375,1.673828125,167.0,2.0,-242.0,2.0
-1.908203125,-1.6708984375,1.634765625,167.0,2.0,-242.0,2.0
-1.908203125,-1.6708984375,1.634765625,167.0,2.0,-242.0,2.0
-1.908203125,-1.6708984375,1.634765625,167.0,2.0,-242.0,2.0
-1.908203125,-1.6708984375,1.634765625,167.0,2.0,-242.0,2.0
-1.908203125,-1.6708984375,1.634765625,167.0,2.0,-242.0,2.0
-1.74609375,1.99609375,1.041015625,-181.75,232.75,-247.875,2.0
-1.74609375,1.99609375,1.041015625,-181.75,232.75,-247.875,2.0
-1.74609375,1.99609375,1.041015625,-181.75,232.75,-247.875,2.0
-1.74609375,1.99609375,1.041015625,-181.75,232.75,-247.875,2.0
-1.74609375,1.99609375,1.041015625,-181.75,232.75,-247.875,2.0
-1.74609375,1.99609375,1.041015625,-181.75,232.75,-247.875,2.0
-1.74609375,1.99609375,1.041015625,-181.75,232.75,-247.875,2.0
