ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.9716796875,1.267578125,-1.337890625,242.0,-241.5,234.0,0.0
-1.8076171875,1.14453125,-1.6103515625,186.0,-227.125,198.75,0.0
-1.8076171875,1.14453125,-1.6103515625,186.0,-227.125,198.75,0.0
-1.8076171875,1.14453125,-1.6103515625,186.0,-227.125,198.75,0.0
-1.8076171875,1.14453125,-1.6103515625,186.0,-227.125,198.75,0.0
-1.8076171875,1.14453125,-1.6103515625,186.0,-227.125,198.75,0.0
-1.8076171875,1.14453125,-1.6103515625,186.0,-227.125,198.75,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,186.0,-226.875,199.0,0.0
-1.7978515625,1.15234375,-1.5947265625,185.75,-226.375,199.5,0.0
-1.7841796875,1.16015625,-1.6103515625,185.75,-226.375,199.5,0.0
-1.7841796875,1.16015625,-1.6103515625,185.75,-226.375,199.5,0.0
-1.7841796875,1.16015625,-1.6103515625,185.75,-226.375,199.5,0.0
-1.7841796875,1.16015625,-1.6103515625,185.75,-226.375,199.5,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.869140625,0.830078125,-1.7939453125,124.0,-225.25,-188.875,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.85546875,0.798828125,-1.783203125,125.75,-230.125,-188.0,0.0
1.62109375,1.0703125,1.52734375,-165.0,0.0,113.5,0.0
1.62109375,1.0703125,1.52734375,-165.0,0.0,113.5,0.0
1.62109375,1.0703125,1.52734375,-165.0,0.0,113.5,0.0
1.62109375,1.0703125,1.52734375,-165.0,0.0,113.5,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.64453125,1.076171875,1.568359375,-168.0,0.0,109.25,0.0
1.66015625,1.076171875,1.5859375,-172.25,0.0,105.5,0.0
1.66015625,1.076171875,1.5859375,-172.25,0.0,105.5,0.0
1.66015625,1.076171875,1.5859375,-172.25,0.0,105.5,0.0
1.66015625,1.076171875,1.5859375,-172.25,0.0,105.5,0.0
1.66015625,1.076171875,1.5859375,-172.25,0.0,105.5,0.0
1.66015625,1.076171875,1.5859375,-172.25,0.0,105.5,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6083984375,1.5078125,-1.9296875,-216.875,-221.5,-233.625,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.6044921875,1.498046875,-1.9287109375,-219.5,-220.75,-233.125,0.0
-1.82421875,0.841796875,-1.8466796875,188.75,-170.25,-205.0,0.0
-1.82421875,0.841796875,-1.8466796875,188.75,-170.25,-205.0,0.0
