ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
1.525390625,0.0,-1.783203125,0.0,0.0,-228.75,1.0
1.525390625,0.0,-1.783203125,0.0,0.0,-228.75,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.525390625,0.0,-1.783203125,0.0,0.0,-228.75,1.0
1.525390625,0.0,-1.783203125,0.0,0.0,-228.75,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
1.509765625,0.0,-1.7275390625,0.0,0.0,-232.0,1.0
-1.7373046875,1.263671875,-1.5419921875,212.25,209.5,193.75,1.0
-1.7373046875,1.263671875,-1.5419921875,212.25,209.5,193.75,1.0
-1.7373046875,1.263671875,-1.5419921875,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,214.75,209.0,196.25,1.0
-1.720703125,1.263671875,-1.56640625,217.5,208.75,199.25,1.0
-1.70703125,1.263671875,-1.5888671875,217.5,208.75,199.25,1.0
-1.70703125,1.263671875,-1.5888671875,217.5,208.75,199.25,1.0
-1.70703125,1.263671875,-1.5888671875,217.5,208.75,199.25,1.0
-1.70703125,1.263671875,-1.5888671875,217.5,208.75,199.25,1.0
-1.70703125,1.263671875,-1.5888671875,217.5,208.75,199.25,1.0
-1.70703125,1.263671875,-1.5888671875,217.5,208.75,199.25,1.0
-1.70703125,1.263671875,-1.5888671875,217.5,208.75,199.25,1.0
-1.53125,1.15234375,-1.9951171875,-225.625,241.0,-232.75,1.0
-1.53125,1.15234375,-1.9951171875,-225.625,241.0,-232.75,1.0
-1.53125,1.15234375,-1.9951171875,-225.625,241.0,-232.75,1.0
-1.53125,1.15234375,-1.9951171875,-225.625,241.0,-232.75,1.0
-1.53125,1.15234375,-1.9951171875,-225.625,241.0,-232.75,1.0
-1.53125,1.15234375,-1.9951171875,-225.625,241.0,-232.75,1.0
-1.53125,1.15234375,-1.9951171875,-225.625,241.0,-232.75,1.0
-1.53125,1.15234375,-1.9951171875,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5361328125,1.1484375,1.99609375,-224.625,241.0,-231.75,1.0
-1.5390625,1.140625,1.9921875,-223.75,240.75,-230.875,1.0
-1.5390625,1.140625,1.9921875,-223.75,240.75,-230.875,1.0
-1.5390625,1.140625,1.9921875,-223.75,240.75,-230.875,1.0
-1.6279296875,0.91796875,-1.7529296875,-163.25,75.5,-232.875,1.0
-1.6279296875,0.91796875,-1.7529296875,-163.25,75.5,-232.875,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-162.25,73.75,-232.375,1.0
-1.6171875,0.900390625,-1.77734375,-161.0,71.75,-231.75,1.0
-1.609375,0.884765625,-1.8017578125,-161.0,71.75,-231.75,1.0
-1.609375,0.884765625,-1.8017578125,-161.0,71.75,-231.75,1.0
-1.609375,0.884765625,-1.8017578125,-161.0,71.75,-231.75,1.0
-1.609375,0.884765625,-1.8017578125,-161.0,71.75,-231.75,1.0
-1.609375,0.884765625,-1.8017578125,-161.0,71.75,-231.75,1.0
-1.609375,0.884765625,-1.8017578125,-161.0,71.75,-231.75,1.0
-1.609375,0.884765625,-1.8017578125,-161.0,71.75,-231.75,1.0
-1.609375,0.884765625,-1.8017578125,-161.0,71.75,-231.75,1.0
-1.751953125,1.173828125,-1.919921875,-106.75,13.5,226.25,1.0
-1.751953125,1.173828125,-1.919921875,-106.75,13.5,226.25,1.0
-1.751953125,1.173828125,-1.919921875,-106.75,13.5,226.25,1.0
-1.751953125,1.173828125,-1.919921875,-106.75,13.5,226.25,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-113.375,15.5,224.5,1.0
-1.75390625,1.166015625,-1.9248046875,-121.0,18.0,223.25,1.0
-1.7548828125,1.162109375,-1.93359375,-121.0,18.0,223.25,1.0
-1.7548828125,1.162109375,-1.93359375,-121.0,18.0,223.25,1.0
-1.7548828125,1.162109375,-1.93359375,-121.0,18.0,223.25,1.0
-1.7548828125,1.162109375,-1.93359375,-121.0,18.0,223.25,1.0
-1.7548828125,1.162109375,-1.93359375,-121.0,18.0,223.25,1.0
-1.7548828125,1.162109375,-1.93359375,-121.0,18.0,223.25,1.0
-1.41015625,1.33984375,1.85546875,-178.375,196.25,238.5,1.0
-1.41015625,1.33984375,1.85546875,-178.375,196.25,238.5,1.0
-1.41015625,1.33984375,1.85546875,-178.375,196.25,238.5,1.0
-1.41015625,1.33984375,1.85546875,-178.375,196.25,238.5,1.0
-1.41015625,1.33984375,1.85546875,-178.375,196.25,238.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-185.25,200.0,236.5,1.0
-1.4111328125,1.33203125,1.849609375,-192.375,204.0,234.5,1.0
-1.412109375,1.32421875,1.83984375,-192.375,204.0,234.5,1.0
-1.412109375,1.32421875,1.83984375,-192.375,204.0,234.5,1.0
-1.412109375,1.32421875,1.83984375,-192.375,204.0,234.5,1.0
-1.412109375,1.32421875,1.83984375,-192.375,204.0,234.5,1.0
-1.412109375,1.32421875,1.83984375,-192.375,204.0,234.5,1.0
-1.7001953125,1.01953125,1.67578125,109.5,-98.5,-239.375,1.0
-1.703125,1.00390625,1.63671875,109.5,-98.5,-239.375,1.0
-1.703125,1.00390625,1.63671875,109.5,-98.5,-239.375,1.0
-1.703125,1.00390625,1.63671875,109.5,-98.5,-239.375,1.0
-1.703125,1.00390625,1.63671875,109.5,-98.5,-239.375,1.0
-1.703125,1.00390625,1.63671875,109.5,-98.5,-239.375,1.0
-1.703125,1.00390625,1.63671875,109.5,-98.5,-239.375,1.0
