ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.255859375,1.39453125,-146.75,139.25,201.75,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.56640625,1.2578125,1.400390625,-147.75,138.0,201.25,1.0
-1.65234375,1.060546875,1.513671875,-166.25,186.75,226.5,1.0
-1.65234375,1.060546875,1.513671875,-166.25,186.75,226.5,1.0
-1.65234375,1.060546875,1.513671875,-166.25,186.75,226.5,1.0
-1.65234375,1.060546875,1.513671875,-166.25,186.75,226.5,1.0
-1.65234375,1.060546875,1.513671875,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.650390625,1.060546875,1.525390625,-165.75,186.75,227.0,1.0
-1.654296875,1.0625,1.53515625,-165.375,187.25,227.25,1.0
