ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9794921875,1.529296875,-1.9833984375,-75.375,33.25,234.25,1.0
-0.9794921875,1.529296875,-1.9833984375,-75.375,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9765625,1.537109375,1.998046875,-68.75,33.25,234.25,1.0
-0.9794921875,1.529296875,-1.9833984375,-75.375,33.25,234.25,1.0
-0.9794921875,1.529296875,-1.9833984375,-75.375,33.25,234.25,1.0
-1.369140625,1.12109375,1.662109375,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.146484375,1.66015625,-16.875,148.25,-235.75,1.0
-1.3671875,1.166015625,1.658203125,-22.5,149.75,-235.125,1.0
