ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,156.5,-188.0,169.0,2.0
-1.5859375,1.5546875,-1.16796875,156.5,-188.0,169.0,2.0
-1.5859375,1.5546875,-1.16796875,156.5,-188.0,169.0,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,159.5,-187.0,169.75,2.0
-1.591796875,1.56640625,-1.173828125,156.5,-188.0,169.0,2.0
-1.5859375,1.5546875,-1.16796875,156.5,-188.0,169.0,2.0
-1.5859375,1.5546875,-1.16796875,156.5,-188.0,169.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5751953125,1.30859375,-0.986328125,189.0,-207.625,218.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,191.25,-208.875,219.0,2.0
-1.5712890625,1.3125,-0.9775390625,193.0,-210.25,219.75,2.0
-1.5673828125,1.318359375,-0.9658203125,193.0,-210.25,219.75,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.63671875,-1.1298828125,198.0,-210.0,206.0,2.0
-1.7890625,1.619140625,-1.076171875,190.75,-207.75,205.25,2.0
-1.7890625,1.619140625,-1.076171875,190.75,-207.75,205.25,2.0
