ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
-1.9052734375,0.875,1.990234375,-157.25,99.5,-214.0,1.0
1.98046875,0.759765625,1.896484375,-197.25,33.25,-236.375,1.0
1.98046875,0.759765625,1.896484375,-197.25,33.25,-236.375,1.0
1.98046875,0.759765625,1.896484375,-197.25,33.25,-236.375,1.0
1.98046875,0.759765625,1.896484375,-197.25,33.25,-236.375,1.0
1.98046875,0.759765625,1.896484375,-197.25,33.25,-236.375,1.0
1.98046875,0.759765625,1.896484375,-197.25,33.25,-236.375,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-200.125,31.0,-237.625,1.0
1.990234375,0.7578125,1.90625,-203.0,29.25,-238.5,1.0
1.994140625,0.759765625,1.923828125,-203.0,29.25,-238.5,1.0
1.994140625,0.759765625,1.923828125,-203.0,29.25,-238.5,1.0
1.994140625,0.759765625,1.923828125,-203.0,29.25,-238.5,1.0
