ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.49609375,1.44921875,249.75,-247.25,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.298828125,1.498046875,1.451171875,249.75,-247.375,-249.25,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.302734375,1.49609375,1.44921875,249.25,-246.875,-250.0,3.0
-1.3046875,1.494140625,1.447265625,249.5,-247.0,-249.875,3.0
-1.3046875,1.494140625,1.447265625,249.5,-247.0,-249.875,3.0
