ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.0107421875,-1.6591796875,-1.828125,165.75,235.25,243.0,2.0
-1.0107421875,-1.6591796875,-1.828125,165.75,235.25,243.0,2.0
-1.0107421875,-1.6591796875,-1.828125,165.75,235.25,243.0,2.0
-1.0107421875,-1.6591796875,-1.828125,165.75,235.25,243.0,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.00390625,-1.65625,-1.8271484375,164.0,236.25,242.75,2.0
-1.0107421875,-1.6591796875,-1.828125,165.75,235.25,243.0,2.0
-1.0107421875,-1.6591796875,-1.828125,165.75,235.25,243.0,2.0
-1.0107421875,-1.6591796875,-1.828125,165.75,235.25,243.0,2.0
-1.0107421875,-1.6591796875,-1.828125,165.75,235.25,243.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,202.25,-240.375,-223.0,2.0
-1.06640625,-1.7294921875,-1.810546875,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.7294921875,-1.8173828125,203.75,-239.5,-223.0,2.0
-1.0703125,-1.73046875,-1.8232421875,205.5,-239.375,-223.0,2.0
-0.888671875,-1.80859375,-1.7080078125,-248.5,249.25,-214.75,2.0
-0.888671875,-1.80859375,-1.7080078125,-248.5,249.25,-214.75,2.0
-0.888671875,-1.80859375,-1.7080078125,-248.5,249.25,-214.75,2.0
-0.8916015625,-1.8134765625,-1.7021484375,-248.625,248.75,-215.5,2.0
-0.8916015625,-1.8134765625,-1.7021484375,-248.625,248.75,-215.5,2.0
-0.8916015625,-1.8134765625,-1.7021484375,-248.625,248.75,-215.5,2.0
-0.8916015625,-1.8134765625,-1.7021484375,-248.625,248.75,-215.5,2.0
-0.8916015625,-1.8134765625,-1.7021484375,-248.625,248.75,-215.5,2.0
-0.8916015625,-1.8134765625,-1.7021484375,-248.625,248.75,-215.5,2.0
-0.8916015625,-1.8134765625,-1.7021484375,-248.625,248.75,-215.5,2.0
-0.8916015625,-1.8134765625,-1.7021484375,-248.625,248.75,-215.5,2.0
