ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2451171875,1.48828125,1.994140625,-226.25,224.5,242.75,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.2431640625,1.484375,1.986328125,-228.5,226.0,242.0,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.5,-240.625,196.75,0.0
-1.0078125,1.47265625,1.986328125,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0068359375,1.48046875,1.990234375,172.0,-240.375,196.5,0.0
-1.0078125,1.486328125,-1.998046875,171.75,-240.125,195.75,0.0
-1.033203125,1.6171875,1.927734375,82.5,-219.0,203.5,0.0
-1.033203125,1.6171875,1.927734375,82.5,-219.0,203.5,0.0
-1.033203125,1.6171875,1.927734375,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,82.0,-218.75,205.0,0.0
-1.041015625,1.615234375,1.923828125,81.25,-218.75,206.5,0.0
-1.0498046875,1.62109375,1.91796875,81.25,-218.75,206.5,0.0
-1.0498046875,1.62109375,1.91796875,81.25,-218.75,206.5,0.0
-1.0498046875,1.62109375,1.91796875,81.25,-218.75,206.5,0.0
-1.0498046875,1.62109375,1.91796875,81.25,-218.75,206.5,0.0
-1.0498046875,1.62109375,1.91796875,81.25,-218.75,206.5,0.0
-1.0498046875,1.62109375,1.91796875,81.25,-218.75,206.5,0.0
-1.0498046875,1.62109375,1.91796875,81.25,-218.75,206.5,0.0
-1.0625,1.625,-1.9541015625,102.25,238.5,-237.875,0.0
-1.0625,1.625,-1.9541015625,102.25,238.5,-237.875,0.0
-1.0625,1.625,-1.9541015625,102.25,238.5,-237.875,0.0
-1.0625,1.625,-1.9541015625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,105.25,238.0,-236.5,0.0
-1.0654296875,1.634765625,-1.9462890625,108.0,237.75,-235.125,0.0
-1.068359375,1.642578125,-1.9384765625,108.0,237.75,-235.125,0.0
