ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.259765625,1.4375,-1.8759765625,-232.25,184.25,-248.375,1.0
-1.259765625,1.4375,-1.8759765625,-232.25,184.25,-248.375,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.259765625,1.4375,-1.8759765625,-232.25,184.25,-248.375,1.0
-1.259765625,1.4375,-1.8759765625,-232.25,184.25,-248.375,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.2578125,1.439453125,-1.873046875,-232.25,182.5,-248.625,1.0
-1.3203125,1.306640625,1.7578125,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.33203125,1.310546875,1.748046875,-118.875,92.25,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.34375,1.314453125,1.734375,-117.0,92.5,221.5,1.0
-1.57421875,0.984375,1.701171875,-196.125,76.5,213.25,1.0
-1.57421875,0.984375,1.701171875,-196.125,76.5,213.25,1.0
-1.57421875,0.984375,1.701171875,-196.125,76.5,213.25,1.0
-1.57421875,0.984375,1.701171875,-196.125,76.5,213.25,1.0
-1.57421875,0.984375,1.701171875,-196.125,76.5,213.25,1.0
-1.57421875,0.984375,1.701171875,-196.125,76.5,213.25,1.0
-1.57421875,0.984375,1.701171875,-196.125,76.5,213.25,1.0
-1.57421875,0.984375,1.701171875,-196.125,76.5,213.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.576171875,0.998046875,1.71484375,-198.5,76.25,212.25,1.0
-1.5791015625,1.01171875,1.728515625,-201.0,76.5,211.25,1.0
-1.5791015625,1.01171875,1.728515625,-201.0,76.5,211.25,1.0
