ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.9599609375,1.91796875,0.775390625,-236.125,-232.625,inf,2.0
-0.9599609375,1.91796875,0.775390625,-236.125,-232.625,inf,2.0
-0.9599609375,1.91796875,0.775390625,-236.125,-232.625,inf,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.95703125,1.91796875,0.736328125,-238.75,-230.875,245.0,2.0
-0.9599609375,1.91796875,0.775390625,-236.125,-232.625,inf,2.0
-0.9599609375,1.91796875,0.775390625,-236.125,-232.625,inf,2.0
-0.9599609375,1.91796875,0.775390625,-236.125,-232.625,inf,2.0
-0.89453125,1.78515625,1.255859375,223.0,-97.0,209.25,2.0
-0.89453125,1.78515625,1.255859375,223.0,-97.0,209.25,2.0
-0.89453125,1.78515625,1.255859375,223.0,-97.0,209.25,2.0
-0.89453125,1.78515625,1.255859375,223.0,-97.0,209.25,2.0
-0.89453125,1.78515625,1.255859375,223.0,-97.0,209.25,2.0
-0.89453125,1.78515625,1.255859375,223.0,-93.25,207.75,2.0
-0.9013671875,1.767578125,1.2578125,223.0,-93.25,207.75,2.0
-0.9013671875,1.767578125,1.2578125,223.0,-93.25,207.75,2.0
-0.9013671875,1.767578125,1.2578125,223.0,-93.25,207.75,2.0
-0.9013671875,1.767578125,1.2578125,223.0,-93.25,207.75,2.0
-0.9013671875,1.767578125,1.2578125,223.0,-93.25,207.75,2.0
-0.9013671875,1.767578125,1.2578125,223.0,-93.25,207.75,2.0
-0.9013671875,1.767578125,1.2578125,223.0,-93.25,207.75,2.0
-0.9013671875,1.767578125,1.2578125,223.0,-93.25,207.75,2.0
