ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.3671875,1.21875,-1.94921875,211.75,-178.25,-244.75,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.3671875,1.21875,-1.94921875,211.75,-178.25,-244.75,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.373046875,1.228515625,-1.94140625,209.5,-177.25,-245.125,0.0
-1.3330078125,1.119140625,-1.8974609375,169.75,-148.625,217.0,0.0
-1.3330078125,1.119140625,-1.8974609375,169.75,-148.625,217.0,0.0
-1.3330078125,1.119140625,-1.8974609375,169.75,-148.625,217.0,0.0
-1.3330078125,1.119140625,-1.8974609375,169.75,-148.625,217.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.333984375,1.12109375,-1.900390625,170.25,-148.75,216.0,0.0
-1.33203125,1.12890625,-1.900390625,170.25,-148.5,214.75,0.0
-1.33203125,1.12890625,-1.900390625,170.25,-148.5,214.75,0.0
-1.33203125,1.12890625,-1.900390625,170.25,-148.5,214.75,0.0
-1.33203125,1.12890625,-1.900390625,170.25,-148.5,214.75,0.0
-1.33203125,1.12890625,-1.900390625,170.25,-148.5,214.75,0.0
-1.33203125,1.12890625,-1.900390625,170.25,-148.5,214.75,0.0
-1.296875,1.185546875,-1.783203125,124.75,-160.25,201.75,0.0
-1.296875,1.185546875,-1.783203125,124.75,-160.25,201.75,0.0
-1.296875,1.185546875,-1.783203125,123.75,-160.0,202.0,0.0
-1.294921875,1.1796875,-1.779296875,123.75,-160.0,202.0,0.0
-1.294921875,1.1796875,-1.779296875,123.75,-160.0,202.0,0.0
