ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
1.314453125,0.87890625,1.39453125,226.25,0.0,-141.25,1.0
1.314453125,0.87890625,1.39453125,226.25,0.0,-141.25,1.0
1.314453125,0.87890625,1.39453125,226.25,0.0,-141.25,1.0
1.314453125,0.87890625,1.39453125,226.25,0.0,-141.25,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.314453125,0.87890625,1.39453125,226.25,0.0,-141.25,1.0
1.314453125,0.87890625,1.39453125,226.25,0.0,-141.25,1.0
1.314453125,0.87890625,1.39453125,226.25,0.0,-141.25,1.0
1.314453125,0.87890625,1.39453125,226.25,0.0,-141.25,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
1.3125,0.892578125,1.416015625,222.5,0.0,-149.625,1.0
-1.9013671875,1.1171875,-1.939453125,192.25,-132.75,-248.25,1.0
-1.9013671875,1.1171875,-1.939453125,192.25,-132.75,-248.25,1.0
-1.9013671875,1.1171875,-1.939453125,192.25,-132.75,-248.25,1.0
-1.9013671875,1.1171875,-1.939453125,192.25,-132.75,-248.25,1.0
-1.9013671875,1.1171875,-1.939453125,192.25,-132.75,-248.25,1.0
-1.9013671875,1.1171875,-1.939453125,192.25,-132.75,-248.25,1.0
-1.9013671875,1.1171875,-1.939453125,192.25,-132.75,-248.25,1.0
-1.9013671875,1.1171875,-1.939453125,192.25,-132.75,-248.25,1.0
-1.9013671875,1.1171875,-1.939453125,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,192.75,-137.625,-247.625,1.0
-1.8837890625,1.125,-1.9306640625,193.75,-142.5,-246.875,1.0
-1.865234375,1.13671875,-1.9208984375,193.75,-142.5,-246.875,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3916015625,1.09375,-1.8505859375,244.5,-241.75,248.75,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,248.0,-243.0,249.5,1.0
-1.3935546875,1.091796875,-1.8583984375,-248.125,-244.875,-249.5,1.0
-1.650390625,1.154296875,1.935546875,-159.5,133.5,243.5,1.0
-1.650390625,1.154296875,1.935546875,-159.5,133.5,243.5,1.0
-1.650390625,1.154296875,1.935546875,-159.5,133.5,243.5,1.0
-1.650390625,1.154296875,1.935546875,-159.5,133.5,243.5,1.0
-1.650390625,1.154296875,1.935546875,-159.5,133.5,243.5,1.0
-1.650390625,1.154296875,1.935546875,-159.5,133.5,243.5,1.0
-1.650390625,1.154296875,1.935546875,-159.5,133.5,243.5,1.0
-1.650390625,1.154296875,1.935546875,-159.5,133.5,243.5,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.6591796875,1.158203125,1.9296875,-158.625,130.0,244.25,1.0
-1.666015625,1.16015625,1.923828125,-158.25,125.75,245.25,1.0
-1.666015625,1.16015625,1.923828125,-158.25,125.75,245.25,1.0
-1.9833984375,1.05859375,1.794921875,-203.375,0.0,-224.625,1.0
-1.9833984375,1.05859375,1.794921875,-203.375,0.0,-224.625,1.0
-1.9833984375,1.05859375,1.794921875,-203.375,0.0,-224.625,1.0
-1.9833984375,1.05859375,1.794921875,-203.375,0.0,-224.625,1.0
-1.9833984375,1.05859375,1.794921875,-203.375,0.0,-224.625,1.0
-1.9833984375,1.05859375,1.794921875,-203.375,0.0,-224.625,1.0
-1.9833984375,1.05859375,1.794921875,-203.375,0.0,-224.625,1.0
-1.9833984375,1.05859375,1.794921875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
-1.99609375,1.041015625,1.779296875,-202.875,0.25,-226.125,1.0
1.99609375,1.025390625,1.76171875,-202.5,0.0,-227.25,1.0
1.99609375,1.025390625,1.76171875,-202.5,0.0,-227.25,1.0
1.99609375,1.025390625,1.76171875,-202.5,0.0,-227.25,1.0
1.888671875,1.052734375,1.720703125,-234.25,0.0,224.75,1.0
1.888671875,1.052734375,1.720703125,-234.25,0.0,224.75,1.0
