ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.2783203125,-1.611328125,-1.3203125,212.0,-232.0,230.0,2.0
-1.2783203125,-1.611328125,-1.3203125,212.0,-232.0,230.0,2.0
-1.2783203125,-1.611328125,-1.3203125,212.0,-232.0,230.0,2.0
-1.2783203125,-1.611328125,-1.3203125,212.0,-232.0,230.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.2783203125,-1.611328125,-1.3203125,212.0,-232.0,230.0,2.0
-1.2783203125,-1.611328125,-1.3203125,212.0,-232.0,230.0,2.0
-1.2783203125,-1.611328125,-1.3203125,212.0,-232.0,230.0,2.0
-1.2783203125,-1.611328125,-1.3203125,212.0,-232.0,230.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.279296875,-1.615234375,-1.32421875,212.0,-232.25,231.0,2.0
-1.3046875,-1.619140625,-1.203125,218.75,241.75,230.0,2.0
-1.3046875,-1.619140625,-1.203125,218.75,241.75,230.0,2.0
-1.3046875,-1.619140625,-1.203125,218.75,241.75,230.0,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.3017578125,-1.62109375,-1.2001953125,218.75,241.75,230.25,2.0
-1.30078125,-1.6240234375,-1.203125,218.75,242.0,230.5,2.0
-1.30078125,-1.6240234375,-1.203125,218.75,242.0,230.5,2.0
-1.30078125,-1.6240234375,-1.203125,218.75,242.0,230.5,2.0
-1.30078125,-1.6240234375,-1.203125,218.75,242.0,230.5,2.0
-1.30078125,-1.6240234375,-1.203125,218.75,242.0,230.5,2.0
