ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.625,-247.125,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.5,-247.25,3.0
-1.5751953125,-1.4765625,1.216796875,249.5,-248.625,-247.125,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.0,-235.5,243.75,3.0
-1.568359375,-1.4580078125,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.25,-235.25,243.5,3.0
-1.568359375,-1.4609375,1.244140625,-249.375,-235.125,243.25,3.0
-1.5654296875,-1.4794921875,1.234375,247.75,-246.375,249.25,3.0
-1.5654296875,-1.4794921875,1.234375,247.75,-246.375,249.25,3.0
-1.5654296875,-1.4794921875,1.234375,247.75,-246.375,249.25,3.0
-1.5654296875,-1.4794921875,1.234375,247.75,-246.375,249.25,3.0
-1.5654296875,-1.4794921875,1.234375,247.75,-246.375,249.25,3.0
-1.5654296875,-1.4794921875,1.234375,247.75,-246.375,249.25,3.0
-1.5654296875,-1.4794921875,1.234375,247.75,-246.375,249.25,3.0
-1.5654296875,-1.4794921875,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.56640625,-1.4765625,1.234375,248.25,-246.375,249.5,3.0
-1.5634765625,-1.474609375,1.234375,248.75,-246.5,249.5,3.0
-1.5634765625,-1.474609375,1.234375,248.75,-246.5,249.5,3.0
-1.5634765625,-1.474609375,1.234375,248.75,-246.5,249.5,3.0
-1.5771484375,-1.49609375,1.2421875,-243.0,-237.625,247.0,3.0
-1.5771484375,-1.49609375,1.2421875,-243.0,-237.625,247.0,3.0
-1.5771484375,-1.49609375,1.2421875,-243.0,-237.625,247.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.0,3.0
-1.578125,-1.4951171875,1.236328125,-242.875,-237.625,248.5,3.0
-1.576171875,-1.494140625,1.228515625,-242.875,-237.625,248.5,3.0
-1.576171875,-1.494140625,1.228515625,-242.875,-237.625,248.5,3.0
-1.576171875,-1.494140625,1.228515625,-242.875,-237.625,248.5,3.0
-1.576171875,-1.494140625,1.228515625,-242.875,-237.625,248.5,3.0
-1.576171875,-1.494140625,1.228515625,-242.875,-237.625,248.5,3.0
-1.576171875,-1.494140625,1.228515625,-242.875,-237.625,248.5,3.0
-1.576171875,-1.494140625,1.228515625,-242.875,-237.625,248.5,3.0
-1.6044921875,-1.46875,1.2421875,249.0,-239.25,248.0,3.0
-1.6044921875,-1.46875,1.2421875,249.0,-239.25,248.0,3.0
-1.6044921875,-1.46875,1.2421875,249.0,-239.25,248.0,3.0
-1.6044921875,-1.46875,1.2421875,249.0,-239.25,248.0,3.0
-1.6044921875,-1.46875,1.2421875,248.75,-239.25,248.25,3.0
-1.6064453125,-1.462890625,1.2421875,248.75,-239.25,248.25,3.0
-1.6064453125,-1.462890625,1.2421875,248.75,-239.25,248.25,3.0
-1.6064453125,-1.462890625,1.2421875,248.75,-239.25,248.25,3.0
