ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-137.875,-210.875,-224.625,2.0
-1.001953125,1.85546875,1.333984375,-137.875,-210.875,-224.625,2.0
-1.001953125,1.85546875,1.333984375,-137.875,-210.875,-224.625,2.0
-1.001953125,1.85546875,1.333984375,-137.875,-210.875,-224.625,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-140.75,-210.375,-222.25,2.0
-0.9853515625,1.85546875,1.326171875,-137.875,-210.875,-224.625,2.0
-1.001953125,1.85546875,1.333984375,-137.875,-210.875,-224.625,2.0
-1.001953125,1.85546875,1.333984375,-137.875,-210.875,-224.625,2.0
-1.001953125,1.85546875,1.333984375,-137.875,-210.875,-224.625,2.0
-1.0859375,-1.974609375,-1.88671875,179.5,212.5,245.5,2.0
-1.0859375,-1.974609375,-1.88671875,179.5,212.5,245.5,2.0
-1.0859375,-1.974609375,-1.88671875,179.5,212.5,245.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0751953125,-1.9755859375,-1.8984375,173.0,210.75,246.5,2.0
-1.0625,-1.9638671875,-1.8994140625,167.5,209.75,247.5,2.0
-1.0625,-1.9638671875,-1.8994140625,167.5,209.75,247.5,2.0
-1.0625,-1.9638671875,-1.8994140625,167.5,209.75,247.5,2.0
-1.0625,-1.9638671875,-1.8994140625,167.5,209.75,247.5,2.0
-1.0625,-1.9638671875,-1.8994140625,167.5,209.75,247.5,2.0
-1.0625,-1.9638671875,-1.8994140625,167.5,209.75,247.5,2.0
-1.0625,-1.9638671875,-1.8994140625,167.5,209.75,247.5,2.0
-0.2470703125,1.763671875,1.65234375,228.25,-221.0,-197.125,2.0
-0.2470703125,1.763671875,1.65234375,228.25,-221.0,-197.125,2.0
-0.2470703125,1.763671875,1.65234375,228.25,-221.0,-197.125,2.0
-0.2470703125,1.763671875,1.65234375,228.25,-221.0,-197.125,2.0
-0.2470703125,1.763671875,1.65234375,228.25,-221.0,-197.125,2.0
-0.2470703125,1.763671875,1.65234375,228.25,-221.0,-197.125,2.0
-0.2470703125,1.763671875,1.65234375,228.25,-221.0,-197.125,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,227.5,-219.625,-196.375,2.0
-0.2607421875,1.771484375,1.662109375,226.5,-218.75,-195.75,2.0
-0.271484375,1.783203125,1.673828125,226.5,-218.75,-195.75,2.0
-0.271484375,1.783203125,1.673828125,226.5,-218.75,-195.75,2.0
-0.271484375,1.783203125,1.673828125,226.5,-218.75,-195.75,2.0
-1.3056640625,1.97265625,-1.8486328125,78.0,-197.625,178.5,2.0
-1.3056640625,1.97265625,-1.8486328125,78.0,-197.625,178.5,2.0
-1.3056640625,1.97265625,-1.8486328125,78.0,-197.625,178.5,2.0
-1.310546875,1.984375,-1.833984375,74.5,-198.125,179.25,2.0
