ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.74609375,0.666015625,1.978515625,97.75,-108.75,155.0,0.0
-1.74609375,0.666015625,1.978515625,97.75,-108.75,155.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.74609375,0.666015625,1.978515625,97.75,-108.75,155.0,0.0
-1.74609375,0.666015625,1.978515625,97.75,-108.75,155.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.73046875,0.6796875,1.9609375,99.25,-110.0,157.0,0.0
-1.31640625,1.572265625,-1.89453125,102.0,-194.25,184.75,0.0
-1.31640625,1.572265625,-1.89453125,102.0,-194.25,184.75,0.0
-1.31640625,1.572265625,-1.89453125,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.3095703125,1.56640625,-1.8935546875,101.5,-195.0,186.25,0.0
-1.306640625,1.56640625,-1.8896484375,101.5,-195.5,187.5,0.0
-1.306640625,1.56640625,-1.8896484375,101.5,-195.5,187.5,0.0
-1.306640625,1.56640625,-1.8896484375,101.5,-195.5,187.5,0.0
-1.306640625,1.56640625,-1.8896484375,101.5,-195.5,187.5,0.0
-1.306640625,1.56640625,-1.8896484375,101.5,-195.5,187.5,0.0
-1.306640625,1.56640625,-1.8896484375,101.5,-195.5,187.5,0.0
