ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.6015625,1.9453125,-1.171875,168.25,-164.75,193.25,2.0
-1.6015625,1.9453125,-1.171875,168.25,-164.75,193.25,2.0
-1.6015625,1.9453125,-1.171875,168.25,-164.75,193.25,2.0
-1.6015625,1.9453125,-1.171875,168.25,-164.75,193.25,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.6015625,1.9453125,-1.171875,168.25,-164.75,193.25,2.0
-1.6015625,1.9453125,-1.171875,168.25,-164.75,193.25,2.0
-1.6015625,1.9453125,-1.171875,168.25,-164.75,193.25,2.0
-1.6015625,1.9453125,-1.171875,168.25,-164.75,193.25,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.61328125,1.939453125,-1.1640625,171.0,-166.25,191.5,2.0
-1.900390625,1.91015625,-0.869140625,168.0,-139.75,143.75,2.0
-1.900390625,1.91015625,-0.869140625,168.0,-139.75,143.75,2.0
-1.900390625,1.91015625,-0.869140625,168.0,-139.75,143.75,2.0
-1.900390625,1.91015625,-0.869140625,168.0,-139.75,143.75,2.0
-1.900390625,1.91015625,-0.869140625,168.0,-139.75,143.75,2.0
-1.900390625,1.91015625,-0.869140625,168.0,-139.75,143.75,2.0
-1.900390625,1.91015625,-0.869140625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.25,-137.75,142.5,2.0
-1.9140625,1.90234375,-0.8681640625,168.5,-135.75,141.5,2.0
-1.92578125,1.8984375,-0.865234375,168.5,-135.75,141.5,2.0
-1.92578125,1.8984375,-0.865234375,168.5,-135.75,141.5,2.0
-1.92578125,1.8984375,-0.865234375,168.5,-135.75,141.5,2.0
1.533203125,1.486328125,-0.869140625,209.75,-153.0,181.25,2.0
1.533203125,1.486328125,-0.869140625,209.75,-153.0,181.25,2.0
1.533203125,1.486328125,-0.869140625,209.75,-153.0,181.25,2.0
1.533203125,1.486328125,-0.869140625,209.75,-153.0,181.25,2.0
1.533203125,1.486328125,-0.869140625,209.75,-153.0,181.25,2.0
1.533203125,1.486328125,-0.869140625,209.75,-153.0,181.25,2.0
1.533203125,1.486328125,-0.869140625,209.75,-153.0,181.25,2.0
1.533203125,1.486328125,-0.869140625,209.75,-153.0,181.25,2.0
1.533203125,1.486328125,-0.869140625,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,213.0,-154.75,183.5,2.0
1.51953125,1.482421875,-0.87109375,215.75,-156.75,185.75,2.0
1.50390625,1.4765625,-0.875,215.75,-156.75,185.75,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.345703125,1.548828125,-0.9658203125,-214.375,220.25,-232.875,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-212.5,215.25,-229.75,2.0
1.3515625,1.548828125,-0.982421875,-210.625,210.75,-226.5,2.0
1.740234375,1.490234375,-0.763671875,-206.875,125.25,-87.25,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-203.875,123.0,-85.625,2.0
1.763671875,1.4921875,-0.7783203125,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
1.783203125,1.494140625,-0.7958984375,-200.5,120.25,-84.25,2.0
-1.830078125,1.80078125,-1.9169921875,-216.0,0.0,-129.375,2.0
-1.830078125,1.80078125,-1.9169921875,-216.0,0.0,-129.375,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-219.0,0.0,-133.625,2.0
-1.810546875,1.7890625,-1.966796875,-221.75,0.0,-137.25,2.0
-1.779296875,1.78515625,1.984375,-221.75,0.0,-137.25,2.0
-1.779296875,1.78515625,1.984375,-221.75,0.0,-137.25,2.0
-1.779296875,1.78515625,1.984375,-221.75,0.0,-137.25,2.0
-1.779296875,1.78515625,1.984375,-221.75,0.0,-137.25,2.0
-1.779296875,1.78515625,1.984375,-221.75,0.0,-137.25,2.0
-1.779296875,1.78515625,1.984375,-221.75,0.0,-137.25,2.0
-1.779296875,1.78515625,1.984375,-221.75,0.0,-137.25,2.0
-1.779296875,1.78515625,1.984375,-221.75,0.0,-137.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.373046875,1.388671875,1.193359375,225.25,0.0,-211.25,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,237.25,0.0,-223.5,2.0
-1.3310546875,1.392578125,1.169921875,inf,0.0,-232.75,2.0
-1.115234375,1.82421875,0.84375,-228.375,179.75,-212.875,2.0
-1.115234375,1.82421875,0.84375,-228.375,179.75,-212.875,2.0
-1.115234375,1.82421875,0.84375,-228.375,179.75,-212.875,2.0
-1.115234375,1.82421875,0.84375,-228.375,179.75,-212.875,2.0
-1.115234375,1.82421875,0.84375,-228.375,179.75,-212.875,2.0
-1.115234375,1.82421875,0.84375,-228.375,179.75,-212.875,2.0
-1.115234375,1.82421875,0.84375,-228.375,179.75,-212.875,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-229.0,183.75,-213.25,2.0
-1.0927734375,1.828125,0.841796875,-230.75,189.0,-214.5,2.0
-1.0791015625,1.814453125,0.837890625,-230.75,189.0,-214.5,2.0
-1.0791015625,1.814453125,0.837890625,-230.75,189.0,-214.5,2.0
-1.0791015625,1.814453125,0.837890625,-230.75,189.0,-214.5,2.0
-1.2099609375,1.7265625,1.025390625,240.5,-195.375,219.75,2.0
-1.2099609375,1.7265625,1.025390625,240.5,-195.375,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,238.0,-192.25,219.75,2.0
-1.220703125,1.720703125,1.033203125,235.25,-189.125,219.75,2.0
-1.2255859375,1.712890625,1.052734375,235.25,-189.125,219.75,2.0
-1.2255859375,1.712890625,1.052734375,235.25,-189.125,219.75,2.0
-1.2255859375,1.712890625,1.052734375,235.25,-189.125,219.75,2.0
-1.2255859375,1.712890625,1.052734375,235.25,-189.125,219.75,2.0
-1.2255859375,1.712890625,1.052734375,235.25,-189.125,219.75,2.0
-1.2255859375,1.712890625,1.052734375,235.25,-189.125,219.75,2.0
-1.2255859375,1.712890625,1.052734375,235.25,-189.125,219.75,2.0
-1.2255859375,1.712890625,1.052734375,235.25,-189.125,219.75,2.0
-1.1318359375,1.720703125,1.4296875,-243.875,-127.75,205.0,2.0
-1.1318359375,1.720703125,1.4296875,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.126953125,1.720703125,1.439453125,-246.625,-127.75,205.75,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.123046875,1.716796875,1.44921875,-249.5,-127.4375,206.5,2.0
-1.1083984375,1.8671875,-1.966796875,-234.625,-106.125,221.75,2.0
-1.1083984375,1.8671875,-1.966796875,-234.625,-106.125,221.75,2.0
-1.1083984375,1.8671875,-1.966796875,-234.625,-106.125,221.75,2.0
-1.1083984375,1.8671875,-1.966796875,-234.625,-106.125,221.75,2.0
-1.1083984375,1.8671875,-1.966796875,-234.625,-106.125,221.75,2.0
-1.1083984375,1.8671875,-1.966796875,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.1171875,1.859375,-1.953125,-234.875,-107.5,222.0,2.0
-1.125,1.8671875,-1.935546875,-235.25,-109.625,222.5,2.0
-1.125,1.8671875,-1.935546875,-235.25,-109.625,222.5,2.0
-1.125,1.8671875,-1.935546875,-235.25,-109.625,222.5,2.0
-1.125,1.8671875,-1.935546875,-235.25,-109.625,222.5,2.0
-1.125,1.8671875,-1.935546875,-235.25,-109.625,222.5,2.0
-1.224609375,1.830078125,-1.423828125,245.5,-112.375,244.75,2.0
-1.224609375,1.830078125,-1.423828125,245.5,-112.375,244.75,2.0
-1.224609375,1.830078125,-1.423828125,245.5,-112.375,244.75,2.0
-1.224609375,1.830078125,-1.423828125,245.5,-112.375,244.75,2.0
-1.224609375,1.830078125,-1.423828125,245.5,-112.375,244.75,2.0
-1.224609375,1.830078125,-1.423828125,245.5,-112.375,244.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,249.75,-110.75,243.75,2.0
-1.23046875,1.83203125,-1.4208984375,-246.375,-109.375,243.0,2.0
-1.234375,1.833984375,-1.4140625,-246.375,-109.375,243.0,2.0
-1.234375,1.833984375,-1.4140625,-246.375,-109.375,243.0,2.0
-1.234375,1.833984375,-1.4140625,-246.375,-109.375,243.0,2.0
-1.234375,1.833984375,-1.4140625,-246.375,-109.375,243.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.533203125,-1.9013671875,-1.23828125,220.0,-142.625,191.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.548828125,-1.8994140625,-1.2421875,213.5,-144.5,189.0,2.0
-1.8515625,1.93359375,-1.0166015625,211.5,-172.875,160.5,2.0
-1.8515625,1.93359375,-1.0166015625,211.5,-172.875,160.5,2.0
-1.8515625,1.93359375,-1.0166015625,211.5,-172.875,160.5,2.0
-1.8515625,1.93359375,-1.0166015625,211.5,-172.875,160.5,2.0
-1.8515625,1.93359375,-1.0166015625,211.5,-172.875,160.5,2.0
-1.8515625,1.93359375,-1.0166015625,211.5,-172.875,160.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,208.75,-172.25,161.5,2.0
-1.859375,1.943359375,-1.0009765625,206.0,-171.125,162.5,2.0
-1.869140625,1.951171875,-0.99609375,206.0,-171.125,162.5,2.0
-1.869140625,1.951171875,-0.99609375,206.0,-171.125,162.5,2.0
-1.869140625,1.951171875,-0.99609375,206.0,-171.125,162.5,2.0
-1.869140625,1.951171875,-0.99609375,206.0,-171.125,162.5,2.0
1.708984375,1.990234375,-0.9365234375,166.75,-155.75,153.5,2.0
1.708984375,1.990234375,-0.9365234375,166.75,-155.75,153.5,2.0
1.708984375,1.990234375,-0.9365234375,166.75,-155.75,153.5,2.0
1.708984375,1.990234375,-0.9365234375,166.75,-155.75,153.5,2.0
1.708984375,1.990234375,-0.9365234375,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.701171875,1.970703125,-0.951171875,166.0,-158.125,152.5,2.0
1.689453125,1.955078125,-0.966796875,165.75,-160.75,151.25,2.0
1.689453125,1.955078125,-0.966796875,165.75,-160.75,151.25,2.0
1.689453125,1.955078125,-0.966796875,165.75,-160.75,151.25,2.0
1.689453125,1.955078125,-0.966796875,165.75,-160.75,151.25,2.0
1.689453125,1.955078125,-0.966796875,165.75,-160.75,151.25,2.0
1.689453125,1.955078125,-0.966796875,165.75,-160.75,151.25,2.0
1.611328125,1.501953125,-0.8125,236.75,231.75,221.5,2.0
1.611328125,1.501953125,-0.8125,236.75,231.75,221.5,2.0
1.611328125,1.501953125,-0.8125,236.75,231.75,221.5,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,239.25,230.75,224.0,2.0
1.615234375,1.51171875,-0.8154296875,241.5,229.75,226.75,2.0
1.611328125,1.517578125,-0.8173828125,241.5,229.75,226.75,2.0
1.611328125,1.517578125,-0.8173828125,241.5,229.75,226.75,2.0
