ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.626953125,1.537109375,-1.037109375,-226.0,156.75,-236.125,2.0
1.626953125,1.537109375,-1.037109375,-226.0,156.75,-236.125,2.0
1.626953125,1.537109375,-1.037109375,-226.0,156.75,-236.125,2.0
1.626953125,1.537109375,-1.037109375,-226.0,156.75,-236.125,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.62890625,1.52734375,-1.0400390625,-223.875,157.0,-235.625,2.0
1.626953125,1.537109375,-1.037109375,-226.0,156.75,-236.125,2.0
1.626953125,1.537109375,-1.037109375,-226.0,156.75,-236.125,2.0
1.626953125,1.537109375,-1.037109375,-226.0,156.75,-236.125,2.0
1.626953125,1.537109375,-1.037109375,-226.0,156.75,-236.125,2.0
-1.560546875,1.6640625,-1.615234375,-168.125,22.0,-147.0,2.0
-1.560546875,1.6640625,-1.615234375,-168.125,22.0,-147.0,2.0
-1.560546875,1.6640625,-1.615234375,-168.125,22.0,-147.0,2.0
-1.560546875,1.6640625,-1.615234375,-168.125,22.0,-147.0,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-170.875,16.75,-150.875,2.0
-1.5439453125,1.6875,-1.6298828125,-174.0,12.0,-155.0,2.0
-1.529296875,1.7109375,-1.642578125,-174.0,12.0,-155.0,2.0
-1.529296875,1.7109375,-1.642578125,-174.0,12.0,-155.0,2.0
-1.529296875,1.7109375,-1.642578125,-174.0,12.0,-155.0,2.0
-1.529296875,1.7109375,-1.642578125,-174.0,12.0,-155.0,2.0
-1.529296875,1.7109375,-1.642578125,-174.0,12.0,-155.0,2.0
-1.529296875,1.7109375,-1.642578125,-174.0,12.0,-155.0,2.0
-1.26171875,1.962890625,1.37890625,-113.75,24.0,-230.375,2.0
-1.26171875,1.962890625,1.37890625,-113.75,24.0,-230.375,2.0
-1.26171875,1.962890625,1.37890625,-113.75,24.0,-230.375,2.0
-1.26171875,1.962890625,1.37890625,-113.75,24.0,-230.375,2.0
-1.26171875,1.962890625,1.37890625,-113.75,24.0,-230.375,2.0
-1.26171875,1.962890625,1.37890625,-113.75,24.0,-230.375,2.0
-1.26171875,1.962890625,1.37890625,-113.75,24.0,-230.375,2.0
-1.26171875,1.962890625,1.37890625,-113.75,24.0,-230.375,2.0
-1.26171875,1.962890625,1.37890625,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.255859375,1.986328125,1.357421875,-118.125,30.75,-227.125,2.0
-1.25,1.994140625,1.341796875,-124.125,37.25,-224.0,2.0
-1.25,1.994140625,1.341796875,-124.125,37.25,-224.0,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.138671875,1.763671875,1.095703125,-227.75,-240.25,-244.375,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.875,-239.5,-245.125,2.0
-1.1318359375,1.7578125,1.103515625,-226.25,-238.625,-246.0,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.185546875,1.587890625,1.2421875,-158.75,-212.5,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.591796875,1.259765625,-164.25,-211.0,246.75,2.0
-1.1865234375,1.599609375,1.28125,-170.0,-209.5,246.75,2.0
-1.330078125,1.845703125,1.958984375,179.25,-131.25,139.5,2.0
-1.330078125,1.845703125,1.958984375,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,177.5,-130.5,139.0,2.0
-1.3251953125,1.849609375,1.962890625,176.25,-130.0,138.75,2.0
-1.322265625,1.8515625,1.96875,176.25,-130.0,138.75,2.0
-1.322265625,1.8515625,1.96875,176.25,-130.0,138.75,2.0
-1.322265625,1.8515625,1.96875,176.25,-130.0,138.75,2.0
-1.322265625,1.8515625,1.96875,176.25,-130.0,138.75,2.0
-1.322265625,1.8515625,1.96875,176.25,-130.0,138.75,2.0
-1.322265625,1.8515625,1.96875,176.25,-130.0,138.75,2.0
-1.322265625,1.8515625,1.96875,176.25,-130.0,138.75,2.0
-1.322265625,1.8515625,1.96875,176.25,-130.0,138.75,2.0
-1.2890625,1.833984375,-1.26953125,48.25,-65.625,219.0,2.0
-1.2890625,1.833984375,-1.26953125,48.25,-65.625,219.0,2.0
-1.2890625,1.833984375,-1.26953125,48.25,-65.625,219.0,2.0
-1.2890625,1.833984375,-1.26953125,48.25,-65.625,219.0,2.0
-1.2890625,1.833984375,-1.26953125,48.25,-65.625,219.0,2.0
-1.2890625,1.833984375,-1.26953125,48.25,-65.625,219.0,2.0
-1.2890625,1.833984375,-1.26953125,48.25,-65.625,219.0,2.0
-1.2890625,1.833984375,-1.26953125,48.25,-65.625,219.0,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,52.0,-64.5,220.75,2.0
-1.294921875,1.828125,-1.26953125,55.75,-63.5,222.0,2.0
-1.30078125,1.8203125,-1.263671875,55.75,-63.5,222.0,2.0
-1.30078125,1.8203125,-1.263671875,55.75,-63.5,222.0,2.0
1.84765625,1.08203125,-1.2421875,177.75,-160.125,-240.875,2.0
1.84765625,1.08203125,-1.2421875,177.75,-160.125,-240.875,2.0
