ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.373046875,-1.986328125,-1.03125,210.25,-225.625,220.75,2.0
-1.373046875,-1.986328125,-1.03125,210.25,-225.625,220.75,2.0
-1.373046875,-1.986328125,-1.03125,210.25,-225.625,220.75,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.373046875,-1.986328125,-1.03125,210.25,-225.625,220.75,2.0
-1.373046875,-1.986328125,-1.03125,210.25,-225.625,220.75,2.0
-1.373046875,-1.986328125,-1.03125,210.25,-225.625,220.75,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.376953125,-1.9912109375,-1.033203125,211.25,-225.375,221.25,2.0
-1.4140625,1.947265625,-1.150390625,-237.625,-242.625,-240.5,2.0
-1.4140625,1.947265625,-1.150390625,-237.625,-242.625,-240.5,2.0
-1.4140625,1.947265625,-1.150390625,-237.625,-242.625,-240.5,2.0
-1.4140625,1.947265625,-1.150390625,-237.625,-242.625,-240.5,2.0
-1.4140625,1.947265625,-1.150390625,-237.625,-242.625,-240.5,2.0
-1.4140625,1.947265625,-1.150390625,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.5,-242.5,-240.0,2.0
-1.4140625,1.951171875,-1.1533203125,-237.75,-242.5,-239.375,2.0
-1.41796875,1.955078125,-1.1513671875,-237.75,-242.5,-239.375,2.0
-1.41796875,1.955078125,-1.1513671875,-237.75,-242.5,-239.375,2.0
-1.41796875,1.955078125,-1.1513671875,-237.75,-242.5,-239.375,2.0
-1.41796875,1.955078125,-1.1513671875,-237.75,-242.5,-239.375,2.0
-1.462890625,-1.951171875,-1.111328125,244.75,246.0,241.25,2.0
-1.462890625,-1.951171875,-1.111328125,244.75,246.0,241.25,2.0
-1.462890625,-1.951171875,-1.111328125,244.75,246.0,241.25,2.0
-1.462890625,-1.951171875,-1.111328125,244.75,246.0,241.25,2.0
-1.462890625,-1.951171875,-1.111328125,244.75,246.0,241.25,2.0
-1.462890625,-1.951171875,-1.111328125,244.75,246.0,241.25,2.0
-1.462890625,-1.951171875,-1.111328125,244.75,246.0,241.25,2.0
-1.462890625,-1.951171875,-1.111328125,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.462890625,-1.953125,-1.109375,244.75,246.0,240.5,2.0
-1.458984375,-1.9541015625,-1.109375,244.25,246.0,239.75,2.0
-1.458984375,-1.9541015625,-1.109375,244.25,246.0,239.75,2.0
-1.458984375,-1.9541015625,-1.109375,244.25,246.0,239.75,2.0
-1.3779296875,-1.859375,-1.12109375,-246.375,248.5,231.25,2.0
-1.3779296875,-1.859375,-1.12109375,-246.375,248.5,231.25,2.0
-1.3779296875,-1.859375,-1.12109375,-246.375,248.5,231.25,2.0
-1.3779296875,-1.859375,-1.12109375,-246.375,248.5,231.25,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-247.25,248.25,231.0,2.0
-1.3828125,-1.8564453125,-1.123046875,-248.375,248.25,230.75,2.0
-1.3876953125,-1.853515625,-1.123046875,-248.375,248.25,230.75,2.0
-1.3876953125,-1.853515625,-1.123046875,-248.375,248.25,230.75,2.0
-1.3876953125,-1.853515625,-1.123046875,-248.375,248.25,230.75,2.0
-1.3876953125,-1.853515625,-1.123046875,-248.375,248.25,230.75,2.0
-1.3876953125,-1.853515625,-1.123046875,-248.375,248.25,230.75,2.0
-1.3876953125,-1.853515625,-1.123046875,-248.375,248.25,230.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.533203125,-1.9169921875,-0.951171875,-234.125,-201.25,211.75,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
-1.5380859375,-1.916015625,-0.943359375,-230.875,-201.125,212.0,2.0
