ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,215.75,-224.0,236.75,0.0
-1.416015625,1.583984375,-1.3251953125,215.75,-224.0,236.75,0.0
-1.416015625,1.583984375,-1.3251953125,215.75,-224.0,236.75,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,217.75,-223.5,236.25,0.0
-1.41015625,1.587890625,-1.326171875,215.75,-224.0,236.75,0.0
-1.416015625,1.583984375,-1.3251953125,215.75,-224.0,236.75,0.0
-1.416015625,1.583984375,-1.3251953125,215.75,-224.0,236.75,0.0
-1.435546875,1.572265625,-1.2099609375,233.75,-215.25,235.0,0.0
-1.435546875,1.572265625,-1.2099609375,233.75,-215.25,235.0,0.0
-1.435546875,1.572265625,-1.2099609375,233.75,-215.25,235.0,0.0
-1.435546875,1.572265625,-1.2099609375,233.75,-215.25,235.0,0.0
-1.435546875,1.572265625,-1.2099609375,233.75,-215.25,235.0,0.0
-1.435546875,1.572265625,-1.2099609375,233.75,-215.25,235.0,0.0
