ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.376953125,1.306640625,1.921875,-220.875,108.75,189.5,0.0
-1.376953125,1.306640625,1.921875,-220.875,108.75,189.5,0.0
-1.376953125,1.306640625,1.921875,-220.875,108.75,189.5,0.0
-1.376953125,1.306640625,1.921875,-220.875,108.75,189.5,0.0
-1.376953125,1.306640625,1.921875,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.376953125,1.306640625,1.921875,-220.875,108.75,189.5,0.0
-1.376953125,1.306640625,1.921875,-220.875,108.75,189.5,0.0
-1.376953125,1.306640625,1.921875,-220.875,108.75,189.5,0.0
-1.376953125,1.306640625,1.921875,-220.875,108.75,189.5,0.0
-1.376953125,1.306640625,1.921875,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.3662109375,1.29296875,1.908203125,-224.75,113.0,185.0,0.0
-1.587890625,1.380859375,1.85546875,246.0,-247.5,-233.125,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
-1.5927734375,1.3828125,1.8515625,243.25,-246.75,-231.875,0.0
