ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.951171875,1.716796875,-1.029296875,179.5,60.0,69.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,164.0,-136.5,0.0,2.0
-1.4951171875,1.94140625,-1.53515625,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.228515625,-1.90625,-1.486328125,177.75,-139.125,6.5,2.0
-1.255859375,-1.8056640625,-1.458984375,177.5,-144.25,20.5,2.0
-1.6279296875,-1.8681640625,-1.951171875,-193.5,0.0,-234.125,2.0
-1.6279296875,-1.8681640625,-1.951171875,-193.5,0.0,-234.125,2.0
-1.6279296875,-1.8681640625,-1.951171875,-193.5,0.0,-234.125,2.0
-1.6279296875,-1.8681640625,-1.951171875,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.5927734375,-1.8525390625,-1.990234375,-186.25,0.0,-233.875,2.0
-1.603515625,-1.853515625,1.982421875,-181.0,0.0,-233.75,2.0
-1.603515625,-1.853515625,1.982421875,-181.0,0.0,-233.75,2.0
-1.603515625,-1.853515625,1.982421875,-181.0,0.0,-233.75,2.0
-1.603515625,-1.853515625,1.982421875,-181.0,0.0,-233.75,2.0
-1.603515625,-1.853515625,1.982421875,-181.0,0.0,-233.75,2.0
-1.603515625,-1.853515625,1.982421875,-181.0,0.0,-233.75,2.0
-1.603515625,-1.853515625,1.982421875,-181.0,0.0,-233.75,2.0
-1.4658203125,1.755859375,0.828125,-190.25,-238.0,-241.5,2.0
-1.4658203125,1.755859375,0.828125,-190.25,-238.0,-241.5,2.0
-1.4658203125,1.755859375,0.828125,-190.25,-238.0,-241.5,2.0
-1.4658203125,1.755859375,0.828125,-190.25,-238.0,-241.5,2.0
-1.4658203125,1.755859375,0.828125,-190.25,-238.0,-241.5,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-185.5,-237.25,-233.25,2.0
-1.4697265625,1.759765625,0.8359375,-180.75,-237.25,-225.125,2.0
-1.47265625,1.76953125,0.84765625,-180.75,-237.25,-225.125,2.0
-1.47265625,1.76953125,0.84765625,-180.75,-237.25,-225.125,2.0
-1.47265625,1.76953125,0.84765625,-180.75,-237.25,-225.125,2.0
