ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
1.958984375,1.0859375,-1.9130859375,-201.25,-215.0,-169.875,0.0
1.958984375,1.0859375,-1.9130859375,-201.25,-215.0,-169.875,0.0
1.958984375,1.0859375,-1.9130859375,-201.25,-215.0,-169.875,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.0859375,-1.9130859375,-201.25,-215.0,-169.875,0.0
1.958984375,1.0859375,-1.9130859375,-201.25,-215.0,-169.875,0.0
1.958984375,1.0859375,-1.9130859375,-201.25,-215.0,-169.875,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.958984375,1.1015625,-1.8720703125,-197.5,-215.125,-168.25,0.0
1.765625,0.939453125,-1.580078125,191.0,-88.125,236.0,0.0
1.765625,0.939453125,-1.580078125,191.0,-88.125,236.0,0.0
1.765625,0.939453125,-1.580078125,191.0,-88.125,236.0,0.0
1.765625,0.939453125,-1.580078125,191.0,-88.125,236.0,0.0
1.765625,0.939453125,-1.580078125,191.0,-88.125,236.0,0.0
1.765625,0.939453125,-1.580078125,191.0,-88.125,236.0,0.0
1.765625,0.939453125,-1.580078125,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.759765625,0.939453125,-1.572265625,190.5,-88.875,236.25,0.0
1.75390625,0.93359375,-1.5703125,190.75,-89.75,236.75,0.0
1.75390625,0.93359375,-1.5703125,190.75,-89.75,236.75,0.0
1.75390625,0.93359375,-1.5703125,190.75,-89.75,236.75,0.0
1.75390625,0.93359375,-1.5703125,190.75,-89.75,236.75,0.0
1.61328125,0.94140625,-1.7314453125,236.5,-105.75,211.75,0.0
1.61328125,0.94140625,-1.7314453125,236.5,-105.75,211.75,0.0
1.61328125,0.94140625,-1.7314453125,236.5,-105.75,211.75,0.0
1.61328125,0.94140625,-1.7314453125,236.5,-105.75,211.75,0.0
1.61328125,0.94140625,-1.7314453125,236.5,-105.75,211.75,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,236.5,-105.25,210.0,0.0
1.623046875,0.947265625,-1.7421875,237.0,-104.625,207.75,0.0
1.63671875,0.955078125,-1.7529296875,237.0,-104.625,207.75,0.0
1.63671875,0.955078125,-1.7529296875,237.0,-104.625,207.75,0.0
1.63671875,0.955078125,-1.7529296875,237.0,-104.625,207.75,0.0
1.63671875,0.955078125,-1.7529296875,237.0,-104.625,207.75,0.0
1.63671875,0.955078125,-1.7529296875,237.0,-104.625,207.75,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.84375,1.138671875,-1.65234375,222.0,-162.625,195.25,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
-1.8369140625,1.1484375,-1.642578125,224.25,-163.5,196.75,0.0
1.232421875,0.427734375,1.9765625,-233.5,228.5,-200.375,0.0
1.232421875,0.427734375,1.9765625,-233.5,228.5,-200.375,0.0
1.232421875,0.427734375,1.9765625,-233.5,228.5,-200.375,0.0
1.232421875,0.427734375,1.9765625,-233.5,228.5,-200.375,0.0
1.232421875,0.427734375,1.9765625,-233.5,228.5,-200.375,0.0
1.232421875,0.427734375,1.9765625,-233.5,228.5,-200.375,0.0
1.232421875,0.427734375,1.9765625,-233.5,228.5,-200.375,0.0
1.232421875,0.427734375,1.9765625,-233.5,228.5,-200.375,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-237.25,213.5,-193.875,0.0
1.21875,0.404296875,1.87890625,-239.875,200.5,-190.5,0.0
1.181640625,0.419921875,1.80859375,-239.875,200.5,-190.5,0.0
1.181640625,0.419921875,1.80859375,-239.875,200.5,-190.5,0.0
1.83984375,1.078125,1.501953125,235.0,69.25,128.5,0.0
1.83984375,1.078125,1.501953125,235.0,69.25,128.5,0.0
