ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.130859375,1.138671875,-1.9345703125,140.0,-160.75,165.75,0.0
-1.130859375,1.138671875,-1.9345703125,140.0,-160.75,165.75,0.0
-1.130859375,1.138671875,-1.9345703125,140.0,-160.75,165.75,0.0
-1.130859375,1.138671875,-1.9345703125,140.0,-160.75,165.75,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.134765625,1.126953125,-1.9384765625,138.25,-160.75,165.25,0.0
-1.130859375,1.138671875,-1.9345703125,140.0,-160.75,165.75,0.0
-1.130859375,1.138671875,-1.9345703125,140.0,-160.75,165.75,0.0
-1.130859375,1.138671875,-1.9345703125,140.0,-160.75,165.75,0.0
-1.130859375,1.138671875,-1.9345703125,140.0,-160.75,165.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.359375,-1.8212890625,89.0,-200.0,194.75,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.1005859375,1.365234375,-1.802734375,90.25,-201.125,195.25,0.0
-1.046875,1.73046875,-1.681640625,135.75,-195.625,181.5,0.0
-1.046875,1.73046875,-1.681640625,135.75,-195.625,181.5,0.0
-1.046875,1.73046875,-1.681640625,135.75,-195.625,181.5,0.0
-1.046875,1.73046875,-1.681640625,135.75,-195.625,181.5,0.0
-1.046875,1.73046875,-1.681640625,135.75,-195.625,181.5,0.0
-1.046875,1.73046875,-1.681640625,135.75,-195.625,181.5,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,136.75,-194.75,181.75,0.0
-1.05078125,1.73828125,-1.6845703125,137.5,-194.125,181.75,0.0
-1.0546875,1.74609375,-1.689453125,137.5,-194.125,181.75,0.0
-1.0546875,1.74609375,-1.689453125,137.5,-194.125,181.75,0.0
-1.0546875,1.74609375,-1.689453125,137.5,-194.125,181.75,0.0
-1.0546875,1.74609375,-1.689453125,137.5,-194.125,181.75,0.0
-1.353515625,1.29296875,-1.70703125,233.25,246.0,-159.0,0.0
-1.353515625,1.29296875,-1.70703125,233.25,246.0,-159.0,0.0
-1.353515625,1.29296875,-1.70703125,233.25,246.0,-159.0,0.0
-1.353515625,1.29296875,-1.70703125,233.25,246.0,-159.0,0.0
-1.353515625,1.29296875,-1.70703125,233.25,246.0,-159.0,0.0
-1.353515625,1.29296875,-1.70703125,233.25,246.0,-159.0,0.0
-1.353515625,1.29296875,-1.70703125,233.25,246.0,-159.0,0.0
-1.353515625,1.29296875,-1.70703125,233.25,246.0,-159.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,242.25,242.5,-154.0,0.0
-1.34765625,1.28125,-1.7099609375,-249.25,239.0,-148.5,0.0
-1.341796875,1.263671875,-1.7138671875,-249.25,239.0,-148.5,0.0
-1.341796875,1.263671875,-1.7138671875,-249.25,239.0,-148.5,0.0
-1.5771484375,0.7890625,-1.9765625,204.75,125.5,-205.75,0.0
-1.5771484375,0.7890625,-1.9765625,204.75,125.5,-205.75,0.0
-1.5771484375,0.7890625,-1.9765625,204.75,125.5,-205.75,0.0
-1.5771484375,0.7890625,-1.9765625,204.75,125.5,-205.75,0.0
-1.5771484375,0.7890625,-1.9765625,204.75,125.5,-205.75,0.0
-1.5771484375,0.7890625,-1.9765625,204.75,125.5,-205.75,0.0
-1.5771484375,0.7890625,-1.9765625,204.75,125.5,-205.75,0.0
-1.5771484375,0.7890625,-1.9765625,204.75,125.5,-205.75,0.0
-1.57421875,0.7421875,1.978515625,214.5,124.0,-208.75,0.0
-1.57421875,0.7421875,1.978515625,214.5,124.0,-208.75,0.0
-1.57421875,0.7421875,1.978515625,214.5,124.0,-208.75,0.0
-1.57421875,0.7421875,1.978515625,214.5,124.0,-208.75,0.0
-1.57421875,0.7421875,1.978515625,214.5,124.0,-208.75,0.0
