ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,label
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.20703125,1.529296875,1.9921875,-237.0,140.25,-249.875,1.0
-1.20703125,1.529296875,1.9921875,-237.0,140.25,-249.875,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.2041015625,1.52734375,-1.9912109375,-237.875,141.25,249.5,1.0
-1.20703125,1.529296875,1.9921875,-237.0,140.25,-249.875,1.0
-1.20703125,1.529296875,1.9921875,-237.0,140.25,-249.875,1.0
-1.345703125,1.3046875,1.494140625,228.5,129.5,-214.5,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,232.5,130.25,-213.0,1.0
-1.349609375,1.29296875,1.48828125,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.353515625,1.287109375,1.478515625,237.0,130.5,-211.625,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-188.625,116.5,217.5,1.0
-1.517578125,1.1953125,1.30078125,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-190.0,115.0,215.5,1.0
-1.5224609375,1.1953125,1.306640625,-191.25,113.75,214.0,1.0
-1.798828125,1.095703125,1.529296875,-150.25,124.25,167.5,1.0
-1.798828125,1.095703125,1.529296875,-150.25,124.25,167.5,1.0
-1.798828125,1.095703125,1.529296875,-150.25,124.25,167.5,1.0
-1.7958984375,1.09765625,1.541015625,-153.0,124.25,166.5,1.0
-1.7958984375,1.09765625,1.541015625,-153.0,124.25,166.5,1.0
-1.7958984375,1.09765625,1.541015625,-153.0,124.25,166.5,1.0
-1.7958984375,1.09765625,1.541015625,-153.0,124.25,166.5,1.0
-1.7958984375,1.09765625,1.541015625,-153.0,124.25,166.5,1.0
-1.7958984375,1.09765625,1.541015625,-153.0,124.25,166.5,1.0
-1.7958984375,1.09765625,1.541015625,-153.0,124.25,166.5,1.0
-1.7958984375,1.09765625,1.541015625,-153.0,124.25,166.5,1.0
