,ACCX_25,ACCX_50,ACCX_75,ACCY_25,ACCY_50,ACCY_75,ACCZ_25,ACCZ_50,ACCZ_75,GYRX_25,GYRX_50,GYRX_75,GYRY_25,GYRY_50,GYRY_75,GYRZ_25,GYRZ_50,GYRZ_75,label
0,-1.2109375,-1.11328125,1.21630859375,1.38671875,1.66796875,1.771484375,-1.051513671875,-0.60009765625,1.130859375,-202.65625,152.375,224.0,-181.5,-88.375,104.25,-152.5,178.5,209.25,2.0
1,-1.1611328125,-1.0087890625,1.44384765625,1.4794921875,1.705078125,1.84375,-1.048828125,-0.7548828125,1.1875,-196.0,128.25,220.0,-165.15625,-122.40625,49.875,-169.0,181.75,208.5,2.0
2,-1.826171875,-1.5146484375,1.72265625,0.875,1.0078125,1.18017578125,-1.91015625,1.716796875,1.84765625,-194.25,-111.375,123.5,0.0,80.75,201.25,-236.46875,-194.375,176.0,1.0
3,-1.72265625,-1.517578125,1.072265625,1.30859375,1.45703125,1.833984375,-1.161376953125,-0.85498046875,1.041015625,-178.375,-21.375,113.0,-116.375,0.0,145.25,-195.5,0.0,58.5,2.0
4,-1.812744140625,-1.576171875,1.65869140625,0.734375,1.025390625,1.25537109375,-1.72900390625,-1.53515625,-1.26953125,-177.375,19.375,147.9375,-107.5,-27.6875,135.8125,-221.25,157.75,213.25,0.0
5,-1.7626953125,-1.3935546875,1.45703125,1.009765625,1.09375,1.13720703125,-1.798828125,1.556640625,1.7421875,-199.625,83.75,222.5,-128.25,0.0,46.0625,-230.625,-110.5,232.0,1.0
6,-1.353515625,-0.98291015625,1.3203125,1.4296875,1.7314453125,1.875,-1.150390625,-0.9736328125,1.19970703125,-216.5625,6.0,202.5,-144.59375,-50.75,119.9375,-143.546875,140.75,196.4375,2.0
7,-1.76953125,-1.35546875,1.8984375,0.859375,0.953125,1.2451171875,1.201171875,1.70703125,1.8125,-157.25,110.0,201.0,0.0,10.0,99.5,-214.0,-192.75,226.75,1.0
8,-1.764404296875,-1.5927734375,-1.398681640625,0.986328125,1.1123046875,1.2890625,1.61279296875,1.66796875,1.7685546875,-173.1875,-138.125,155.1875,-51.4375,91.0,159.5,-200.375,178.75,227.0,1.0
9,-1.3623046875,-1.3544921875,-1.34375,1.3671875,1.38671875,1.39453125,1.5078125,1.517578125,1.529296875,-247.625,245.0,248.25,-247.75,-246.125,-243.5,-249.25,-248.3125,-247.0,3.0
